candidate_id,rank,score,reasoning
CAND_0070202,58,1.10345,"Machine Learning Engineer, 5.1 yrs in India; matches on embedding, qdrant, learning to rank; moderate fit."
CAND_0078492,59,1.101094,"Recommendation Systems Engineer, 5.1 yrs in India; matches on faiss, recommendation, bm25; moderate fit; highly responsive."
CAND_0014440,60,1.099281,"Recommendation Systems Engineer, 6.4 yrs in India; matches on search, elasticsearch, milvus; moderate fit; ideal experience band."
CAND_0075574,61,1.097959,"Machine Learning Engineer, 5.7 yrs in India; matches on transformers, weaviate, recommendation; moderate fit."
CAND_0016659,62,1.096904,"ML Engineer, 4.4 yrs in India; matches on sentence transformers, transformers, pinecone; moderate fit; below the 6-8 yr ideal; highly responsive."
CAND_0074735,63,1.093407,"Applied ML Engineer, 5.5 yrs in India; matches on weaviate, information retrieval, retrieval; moderate fit; highly responsive."
CAND_0007009,64,1.091551,"Recommendation Systems Engineer, 7.9 yrs in India; matches on weaviate, python, embedding; moderate fit; ideal experience band."
CAND_0018722,65,1.090706,"Recommendation Systems Engineer, 6.6 yrs in Canada; matches on weaviate, python, recommendation; moderate fit; ideal experience band; highly responsive."
CAND_0025640,66,1.088673,"AI Research Engineer, 5.6 yrs in India; matches on semantic search, search, information retrieval; moderate fit; highly responsive."
CAND_0080766,67,1.088335,"Staff Machine Learning Engineer, 8.8 yrs in India; matches on search, information retrieval, retrieval; moderate fit."
CAND_0009691,68,1.087959,"Applied ML Engineer, 6.2 yrs in India; matches on recommendation, fine-tuning, llm; moderate fit; ideal experience band."
CAND_0006557,69,1.086043,"NLP Engineer, 7.9 yrs in India; matches on search, elasticsearch, opensearch; moderate fit; ideal experience band."
CAND_0093193,70,1.085847,"Senior Machine Learning Engineer, 7.9 yrs in India; matches on ranking, qdrant, opensearch; moderate fit; ideal experience band."
CAND_0049538,71,1.08125,"Applied ML Engineer, 5.8 yrs in India; matches on learning to rank, opensearch, search; moderate fit; highly responsive."
CAND_0077285,72,1.080513,"Recommendation Systems Engineer, 5.5 yrs in India; matches on pinecone, sentence transformers, transformers; moderate fit."
CAND_0040887,73,1.079912,"Machine Learning Engineer, 4.7 yrs in Canada; matches on faiss, python, milvus; moderate fit; below the 6-8 yr ideal; highly responsive."
CAND_0027691,74,1.07955,"NLP Engineer, 6.5 yrs in India; matches on recommendation, weaviate, embedding; moderate fit; ideal experience band."
CAND_0008239,75,1.074393,"AI Engineer, 4.0 yrs in India; matches on milvus, semantic search, search; moderate fit; below the 6-8 yr ideal; highly responsive."
CAND_0010149,76,1.073214,"ML Engineer, 6.9 yrs in India; matches on milvus, vector search, search; moderate fit; ideal experience band; highly responsive."
CAND_0072688,77,1.072506,"Data Scientist, 6.9 yrs in India; matches on milvus, semantic search, search; moderate fit; ideal experience band; highly responsive."
CAND_0030827,78,1.07067,"Senior Data Scientist, 5.4 yrs in Singapore; matches on transformers, nlp, recommendation; moderate fit."
CAND_0033445,79,1.069601,"ML Engineer, 6.8 yrs in India; matches on information retrieval, retrieval, recommendation; moderate fit; ideal experience band; highly responsive."
CAND_0039838,80,1.066829,"Recommendation Systems Engineer, 4.9 yrs in India; matches on embedding, semantic search, search; moderate fit; below the 6-8 yr ideal; highly responsive."
CAND_0043228,81,1.066805,"Applied ML Engineer, 6.8 yrs in India; matches on nlp, transformers, vector search; borderline fit; ideal experience band."
CAND_0043637,82,1.064404,"Junior ML Engineer, 5.5 yrs in India; matches on milvus, learning to rank; borderline fit; highly responsive."
CAND_0033179,83,1.063125,"AI Research Engineer, 6.9 yrs in India; matches on transformers, opensearch, search; borderline fit; ideal experience band; highly responsive."
CAND_0043860,84,1.062936,"Junior ML Engineer, 6.1 yrs in India; matches on semantic search, search, information retrieval; borderline fit; ideal experience band; highly responsive."
CAND_0072660,85,1.060214,"Machine Learning Engineer, 7.1 yrs in Germany; matches on information retrieval, retrieval, opensearch; borderline fit; ideal experience band."
CAND_0030784,86,1.057976,"Data Scientist, 4.4 yrs in India; matches on embedding, learning to rank, pinecone; borderline fit; below the 6-8 yr ideal; highly responsive."
CAND_0042029,87,1.053003,"Senior Data Scientist, 6.5 yrs in India; matches on nlp, search, elasticsearch; borderline fit; ideal experience band."
CAND_0041610,88,1.051697,"Recommendation Systems Engineer, 6.7 yrs in India; matches on search, elasticsearch, opensearch; borderline fit; ideal experience band."
CAND_0076904,89,1.049896,"Senior Data Scientist, 4.2 yrs in UK; matches on recommendation, vector search, search; borderline fit; below the 6-8 yr ideal."
CAND_0041568,90,1.049196,"Search Engineer, 5.2 yrs in Australia; matches on weaviate, vector search, search; borderline fit."
CAND_0091909,91,1.048172,"Machine Learning Engineer, 6.9 yrs in India; matches on llm, pinecone, qdrant; borderline fit; ideal experience band."
CAND_0076251,92,1.04813,"Search Engineer, 7.6 yrs in India; matches on fine-tuning, llm, transformers; borderline fit; ideal experience band."
CAND_0064270,93,1.043677,"Applied ML Engineer, 4.2 yrs in India; matches on learning to rank, sentence transformers, transformers; borderline fit; below the 6-8 yr ideal; highly responsive."
CAND_0008295,94,1.043598,"AI Research Engineer, 6.5 yrs in India; matches on bm25, python, weaviate; borderline fit; ideal experience band; highly responsive."
CAND_0015578,95,1.043454,"AI Engineer, 5.4 yrs in India; matches on embedding, nlp, bm25; borderline fit."
CAND_0070398,96,1.043399,"Machine Learning Engineer, 7.2 yrs in India; matches on bm25, faiss, embedding; borderline fit; ideal experience band."
CAND_0004402,97,1.041074,"AI Research Engineer, 6.0 yrs in India; matches on opensearch, search, learning to rank; borderline fit; ideal experience band; highly responsive."
CAND_0096172,98,1.039439,"NLP Engineer, 5.2 yrs in India; matches on opensearch, search, elasticsearch; borderline fit."
CAND_0060054,99,1.037005,"AI Engineer, 6.4 yrs in India; matches on weaviate, faiss, search; borderline fit; ideal experience band; highly responsive."
CAND_0054394,100,1.036418,"Recommendation Systems Engineer, 4.1 yrs in India; matches on fine-tuning, llm, embedding; borderline fit; below the 6-8 yr ideal."
